base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
2a3ad,to sit,b2a3od,mn2a3od,bt2a3od,bt2a3de,bt2a3do,by2a3od,bt2a3od,by2a3do
2aal,to say,b2oul,mn2oul,bt2oul,bt2oule,bt2oulo,by2oul,bt2oul,by2oulo
2abar,to bury,b2bor,mn2bor,bt2bor,bt2bre,bt2bro,by2bor,bt2bor,by2bro
2ada,to spend time,b2adde,mn2adde,bt2adde,bt2adde,bt2addo,by2adde,bt2adde,by2addo
2alab,to turn/flip,b2leb,mn2leb,bt2leb,bt2lbe,bt2lbo,by2leb,bt2leb,by2lbo
2am,to stand up,b2oum,mn2oum,bt2oum,bt2oume,bt2oumo,by2oum,bt2oum,by2oumo
2amen,to believe,b2emen,mn2emen,bt2emen,bt2emne,bt2emno,by2emen,bt2emen,by2emno
2arab,to be related,b2rab,mn2rab,bt2rab,bt2rabe,bt2rabo,by2rab,bt2rab,by2rabo
2arrab,to come near,b2arreb,mn2arreb,bt2arreb,bt2arrbe,bt2arrbo,by2arreb,bt2arreb,by2arrbo
2arrar,to decide,b2arrer,mn2arrer,bt2arrer,bt2arrre,bt2arrro,by2arrer,bt2arrer,by2arrro
2asad,to mean/intend,b2sod,mn2sod,bt2sod,bt2sde,bt2sdo,by2sod,bt2sod,by2sdo
2atal,to kill,be2tol,mne2tol,bte2tol,bte2tle,bte2tlo,bye2tol,bte2tol,bye2tlo
2atta3,to cut/pass,b2atte3,mn2atte3,bt2atte3,bt2att3e,bt2att3o,by2atte3,bt2atte3,by2att3o
2ebel,to accept,be2bal,mne2bal,bte2bal,bte2bale,bte2balo,bye2bal,bte2bal,bye2balo
2ele2,to worry,be2la2,mne2la2,bte2la2,bte2la2e,bte2la2o,bye2la2,bte2la2,bye2la2o
2elib,to flip over,be2leb,mne2leb,bte2leb,bte2lbe,bte2lbo,bye2leb,bte2leb,bye2lbo
3abar,to cross,be3bor,mne3bor,bte3bor,bte3bre,bte3bro,bye3bor,bte3bor,bye3bro
3alla2,to hang/get stuck,b3alle2,mn3alle2,bt3alle2,bt3al2e,bt3al2o,by3alle2,bt3alle2,by3al2o
3amal,to do/make,ba3mol,mna3mol,bta3mol,bta3mle,bta3mlo,bya3mol,bta3mol,bya3mlo
3ammar,to build,b3ammer,mn3ammer,bt3ammer,bt3ammre,bt3ammro,by3ammer,bt3ammer,by3ammro
3ana,to suffer,b3ane,mn3ane,bt3ane,bt3ane,bt3ano,by3ane,bt3ane,by3ano
3arbash,to climb,b3arbesh,mn3arbesh,bt3arbesh,bt3arbeshe,bt3arbesho,by3arbesh,bt3arbesh,by3arbesho
3arraf,to define,b3arref,mn3arref,bt3arref,bt3arrfe,bt3arrfo,by3arref,bt3arref,by3arrfo
3ash,to live,b3eesh,mn3eesh,bt3eesh,bt3eeshe,bt3eesho,by3eesh,bt3eesh,by3eesho
3assab,to be angry,b3asseb,mn3asseb,bt3asseb,bt3assbe,bt3assbo,by3asseb,bt3asseb,by3assbo
3ayyat,to yell/call out,b3ayyet,mn3ayyet,bt3ayyet,bt3ayyte,bt3ayyto,by3ayyet,bt3ayyet,by3ayyto
3azam,to invite,b3zom,mn3zom,bt3zom,bt3zome,bt3zomo,by3zom,bt3zom,by3zomo
3elem,to know,b3lam,mn3lam,bt3lam,bt3lame,bt3lamo,by3lam,bt3lam,by3lamo
3jeb,to impress,be3job,mne3job,bte3job,bte3jbe,bte3jbo,bye3job,bte3job,bye3jbo
3ref,to know,be3ref,mne3ref,bte3ref,bte3rfe,bte3rfo,bye3ref,bte3ref,bye3rfo
7abb,to like/love,b7ebb,mn7ebb,bt7ebb,bt7ebbe,bt7ebbo,by7ebb,bt7ebb,by7ebbo
7addad,to determine,b7added,mn7added,bt7added,bt7addde,bt7adddo,by7added,bt7added,by7adddo
7addar,to prepare,b7adder,mn7adder,bt7adder,bt7addre,bt7addro,by7adder,bt7adder,by7addro
7afaz,to memorize,be7faz,mne7faz,bte7faz,bte7faze,bte7fazo,bye7faz,bte7faz,bye7fazo
7affaz,to stimulate/motivate,b7affez,mn7affez,bt7affez,bt7affze,bt7affzo,by7affez,bt7affez,by7affzo
7ajaz,to reserve,be7joz,mne7joz,bte7joz,bte7jze,bte7jzo,bye7joz,bte7joz,bye7jzo
7allal,to analyze,b7allel,mn7allel,bt7allel,bt7alle,bt7alllo,by7allel,bt7allel,by7alllo
7ama,to protect,be7me,mne7me,bte7me,bte7me,bte7mo,bye7me,bte7me,bye7mo
7ara2,to burn,be7ro2,mne7ro2,bte7ro2,bte7r2e,bte7r2o,bye7ro2,bte7ro2,bye7r2o
7areb,to fight,b7areb,mn7areb,bt7areb,bt7arbe,bt7arbo,by7areb,bt7areb,by7arbo
7att,to put,be7ott,mne7ott,bte7ott,bte7otte,bte7otto,bye7ott,bte7ott,bye7otto
7awwal,to transform,b7awwel,mn7awwel,bt7awwel,bt7awle,bt7awlo,by7awwel,bt7awwel,by7awlo
7efez,to memorize/preserve,be7faz,mne7faz,bte7faz,bte7faze,bte7fazo,bye7faz,bte7faz,bye7fazo
7is,to feel,b7iss,mn7iss,bt7iss,bt7isse,bt7isso,by7iss,bt7iss,by7isso
7tafal,to celebrate,be7tefel,mne7tefel,bte7tefel,bte7tefle,bte7teflo,bye7tefel,bte7tefel,bye7teflo
7tar,to be confused,be7tar,mne7tar,bte7tar,bte7tare,bte7taro,bye7tar,bte7tar,bye7taro
a3ta,to give,ba3te,mna3te,bta3te,bta3te,bta3to,bya3te,bta3te,bya3to
ab7as,to research,beb7as,mneb7as,bteb7as,bteb7ase,bteb7aso,byeb7as,bteb7as,byeb7aso
adda,to lead to,bedde,mnedde,btedde,btedde,bteddo,byedde,btedde,byeddo
ahmal,to neglect,behmel,mnehmel,btehmel,btehmle,btehmlo,byehmel,btehmel,byehmlo
al,said/say,b2oul,mn2oul,bt2oul,bt2oule,bt2oulo,by2oul,bt2oul,by2oulo
as2at,to topple / bring down,bes2et,mnes2et,btes2et,btes2te,btes2to,byes2et,btes2et,byes2to
ashraf,to overlook / supervise,beshref,mneshref,bteshref,bteshrfe,bteshrfo,byeshref,bteshref,byeshrfo
assas,to found/establish,b2asses,mn2asses,bt2asses,bt2assse,bt2assso,by2asses,bt2asses,by2assso
awas,to shoot,b2awwes,mn2awwes,bt2awwes,bt2awwse,bt2awwso,by2awwes,bt2awwes,by2awwso
azza,to hurt/harm,b2azze,mn2azze,bt2azze,bt2azze,bt2azzo,by2azze,bt2azze,by2azzo
b7ib,to like/love,b7ibb,mn7ibb,bt7ibb,bt7ibbe,bt7ibbo,by7ibb,bt7ibb,by7ibbo
ba33ad,to be far/distance,bba33ed,mnba33ed,btba33ed,btba33de,btba33do,byba33ed,btba33ed,byba33do
ba3at,to send,bib3at,mnib3at,btib3at,btib3ate,btib3ato,byib3at,btib3at,byib3ato
ba3raf,to know,ba3ref,mna3ref,bta3ref,bta3rfe,bta3rfo,bya3ref,bta3ref,bya3rfo
ba7la2,to stare,bba7le2,mnba7le2,btba7le2,btba7l2e,btba7l2o,byba7le2,btba7le2,byba7l2o
baa3,to sell,bbee3,mnbee3,btbee3,btbee3e,btbee3o,bybee3,btbee3,bybee3o
ballash,to start,bballesh,mnballesh,btballesh,btballshe,btballsho,byballesh,btballesh,byballsho
bana,to build,bebne,mnebne,btebne,btebne,btebno,byebne,btebne,byebno
baram,to go around/circle,bberom,mnberom,btberom,btberme,btbermo,byberom,btberom,bybermo
baraz,to emerge / stand out,bebroz,mnebroz,btebroz,btebroze,btebrozo,byebroz,btebroz,byebrozo
battal,to stop,bbattel,mnbattel,btbattel,btbattle,btbattlo,bybattel,btbattel,bybattlo
be2der,to be able to,be2der,mne2der,bte2der,bte2dre,bte2dro,bye2der,bte2der,bye2dro
