base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
sein,to be,bin,sind,bist,bist,seid,ist,ist,sind
haben,to have,habe,haben,hast,hast,habt,hat,hat,haben
werden,to become,werde,werden,wirst,wirst,werdet,wird,wird,werden
können,can/to be able to,kann,können,kannst,kannst,könnt,kann,kann,können
müssen,must/to have to,muss,müssen,musst,musst,müsst,muss,muss,müssen
sollen,should/ought to,soll,sollen,sollst,sollst,sollt,soll,soll,sollen
wollen,to want,will,wollen,willst,willst,wollt,will,will,wollen
dürfen,may/to be allowed to,darf,dürfen,darfst,darfst,dürft,darf,darf,dürfen
mögen,to like,mag,mögen,magst,magst,mögt,mag,mag,mögen
sagen,to say,sage,sagen,sagst,sagst,sagt,sagt,sagt,sagen
machen,to do/to make,mache,machen,machst,machst,macht,macht,macht,machen
geben,to give,gebe,geben,gibst,gibst,gebt,gibt,gibt,geben
kommen,to come,komme,kommen,kommst,kommst,kommt,kommt,kommt,kommen
gehen,to go,gehe,gehen,gehst,gehst,geht,geht,geht,gehen
wissen,to know (a fact),weiß,wissen,weißt,weißt,wisst,weiß,weiß,wissen
sehen,to see,sehe,sehen,siehst,siehst,seht,sieht,sieht,sehen
lassen,to let/to leave,lasse,lassen,lässt,lässt,lasst,lässt,lässt,lassen
stehen,to stand,stehe,stehen,stehst,stehst,steht,steht,steht,stehen
finden,to find,finde,finden,findest,findest,findet,findet,findet,finden
bleiben,to stay,bleibe,bleiben,bleibst,bleibst,bleibt,bleibt,bleibt,bleiben
liegen,to lie/to be located,liege,liegen,liegst,liegst,liegt,liegt,liegt,liegen
heißen,to be called,heiße,heißen,heißt,heißt,heißt,heißt,heißt,heißen
denken,to think,denke,denken,denkst,denkst,denkt,denkt,denkt,denken
nehmen,to take,nehme,nehmen,nimmst,nimmst,nehmt,nimmt,nimmt,nehmen
tun,to do,tue,tun,tust,tust,tut,tut,tut,tun
glauben,to believe,glaube,glauben,glaubst,glaubst,glaubt,glaubt,glaubt,glauben
halten,to hold/to stop,halte,halten,hältst,hältst,haltet,hält,hält,halten
nennen,to name/to call,nenne,nennen,nennst,nennst,nennt,nennt,nennt,nennen
zeigen,to show,zeige,zeigen,zeigst,zeigst,zeigt,zeigt,zeigt,zeigen
sprechen,to speak,spreche,sprechen,sprichst,sprichst,sprecht,spricht,spricht,sprechen
bringen,to bring,bringe,bringen,bringst,bringst,bringt,bringt,bringt,bringen
leben,to live,lebe,leben,lebst,lebst,lebt,lebt,lebt,leben
fahren,to drive/to go (by vehicle),fahre,fahren,fährst,fährst,fahrt,fährt,fährt,fahren
fragen,to ask,frage,fragen,fragst,fragst,fragt,fragt,fragt,fragen
kennen,to know (a person),kenne,kennen,kennst,kennst,kennt,kennt,kennt,kennen
spielen,to play,spiele,spielen,spielst,spielst,spielt,spielt,spielt,spielen
arbeiten,to work,arbeite,arbeiten,arbeitest,arbeitest,arbeitet,arbeitet,arbeitet,arbeiten
brauchen,to need,brauche,brauchen,brauchst,brauchst,braucht,braucht,braucht,brauchen
lernen,to learn,lerne,lernen,lernst,lernst,lernt,lernt,lernt,lernen
verstehen,to understand,verstehe,verstehen,verstehst,verstehst,versteht,versteht,versteht,verstehen
setzen,to set/to put,setze,setzen,setzt,setzt,setzt,setzt,setzt,setzen
bekommen,to get/to receive,bekomme,bekommen,bekommst,bekommst,bekommt,bekommt,bekommt,bekommen
beginnen,to begin,beginne,beginnen,beginnst,beginnst,beginnt,beginnt,beginnt,beginnen
erzählen,to tell/to narrate,erzähle,erzählen,erzählst,erzählst,erzählt,erzählt,erzählt,erzählen
versuchen,to try,versuche,versuchen,versuchst,versuchst,versucht,versucht,versucht,versuchen
schreiben,to write,schreibe,schreiben,schreibst,schreibst,schreibt,schreibt,schreibt,schreiben
laufen,to run/to walk,laufe,laufen,läufst,läufst,lauft,läuft,läuft,laufen
erklären,to explain,erkläre,erklären,erklärst,erklärst,erklärt,erklärt,erklärt,erklären
sitzen,to sit,sitze,sitzen,sitzt,sitzt,sitzt,sitzt,sitzt,sitzen
scheinen,to shine/to seem,scheine,scheinen,scheinst,scheinst,scheint,scheint,scheint,scheinen
fallen,to fall,falle,fallen,fällst,fällst,fallt,fällt,fällt,fallen
gehören,to belong,gehöre,gehören,gehörst,gehörst,gehört,gehört,gehört,gehören
treffen,to meet,treffe,treffen,triffst,triffst,trefft,trifft,trifft,treffen
suchen,to search/to look for,suche,suchen,suchst,suchst,sucht,sucht,sucht,suchen
vorstellen,to introduce/to imagine,stelle vor,stellen vor,stellst vor,stellst vor,stellt vor,stellt vor,stellt vor,stellen vor
tragen,to carry/to wear,trage,tragen,trägst,trägst,tragt,trägt,trägt,tragen
lesen,to read,lese,lesen,liest,liest,lest,liest,liest,lesen
verlieren,to lose,verliere,verlieren,verlierst,verlierst,verliert,verliert,verliert,verlieren
aussehen,to look/to appear,sehe aus,sehen aus,siehst aus,siehst aus,seht aus,sieht aus,sieht aus,sehen aus
wohnen,to live/to reside,wohne,wohnen,wohnst,wohnst,wohnt,wohnt,wohnt,wohnen
warten,to wait,warte,warten,wartest,wartest,wartet,wartet,wartet,warten
helfen,to help,helfe,helfen,hilfst,hilfst,helft,hilft,hilft,helfen
gewinnen,to win,gewinne,gewinnen,gewinnst,gewinnst,gewinnt,gewinnt,gewinnt,gewinnen
schließen,to close,schließe,schließen,schließt,schließt,schließt,schließt,schließt,schließen
fühlen,to feel,fühle,fühlen,fühlst,fühlst,fühlt,fühlt,fühlt,fühlen
erinnern,to remind/to remember,erinnere,erinnern,erinnerst,erinnerst,erinnert,erinnert,erinnert,erinnern
studieren,to study,studiere,studieren,studierst,studierst,studiert,studiert,studiert,studieren
essen,to eat,esse,essen,isst,isst,esst,isst,isst,essen
trinken,to drink,trinke,trinken,trinkst,trinkst,trinkt,trinkt,trinkt,trinken
kochen,to cook,koche,kochen,kochst,kochst,kocht,kocht,kocht,kochen
reisen,to travel,reise,reisen,reist,reist,reist,reist,reist,reisen
besuchen,to visit,besuche,besuchen,besuchst,besuchst,besucht,besucht,besucht,besuchen
ankommen,to arrive,komme an,kommen an,kommst an,kommst an,kommt an,kommt an,kommt an,kommen an
abfahren,to depart,fahre ab,fahren ab,fährst ab,fährst ab,fahrt ab,fährt ab,fährt ab,fahren ab
einsteigen,to get in/to board,steige ein,steigen ein,steigst ein,steigst ein,steigt ein,steigt ein,steigt ein,steigen ein
aussteigen,to get out/to disembark,steige aus,steigen aus,steigst aus,steigst aus,steigt aus,steigt aus,steigt aus,steigen aus
kaufen,to buy,kaufe,kaufen,kaufst,kaufst,kauft,kauft,kauft,kaufen
verkaufen,to sell,verkaufe,verkaufen,verkaufst,verkaufst,verkauft,verkauft,verkauft,verkaufen
bezahlen,to pay,bezahle,bezahlen,bezahlst,bezahlst,bezahlt,bezahlt,bezahlt,bezahlen
kosten,to cost,koste,kosten,kostest,kostest,kostet,kostet,kostet,kosten
telefonieren,to phone/to call,telefoniere,telefonieren,telefonierst,telefonierst,telefoniert,telefoniert,telefoniert,telefonieren
antworten,to answer,antworte,antworten,antwortest,antwortest,antwortet,antwortet,antwortet,antworten
öffnen,to open,öffne,öffnen,öffnest,öffnest,öffnet,öffnet,öffnet,öffnen
lieben,to love,liebe,lieben,liebst,liebst,liebt,liebt,liebt,lieben
hassen,to hate,hasse,hassen,hasst,hasst,hasst,hasst,hasst,hassen
lachen,to laugh,lache,lachen,lachst,lachst,lacht,lacht,lacht,lachen
weinen,to cry,weine,weinen,weinst,weinst,weint,weint,weint,weinen
singen,to sing,singe,singen,singst,singst,singt,singt,singt,singen
