arabizi_word,english_translation
der,the (masculine)
die,the (feminine/plural)
das,the (neuter)/that
und,and
sein,to be
ein,a/an
zu,to/at
ich,I
haben,to have
werden,to become
sie,she/they
Sie,you (formal)
von,from/of
nicht,not
mit,with
es,it
sich,oneself
auch,also/too
auf,on/at
für,for
an,at/on
er,he
so,so/thus
dass,that (conjunction)
können,to be able to/can
dieser,this
als,as/than
ihr,you (plural)/her
ja,yes
wie,how/as
bei,at/near
oder,or
wir,we
aber,but
dann,then
man,one/you (impersonal)
noch,still/yet
nach,after/toward
was,what
also,so/therefore
aus,out of/from
alle,all
wenn,if/when
nur,only
müssen,to have to/must
sagen,to say
um,around/at
über,over/about
machen,to do/to make
kein,no/not a
Jahr,year
du,you (informal)
mein,my
schon,already
vor,before/in front of
durch,through
geben,to give
mehr,more
andere,other
viel,much/a lot
kommen,to come
jetzt,now
sollen,should/ought to
wollen,to want
ganz,whole/quite
immer,always
gehen,to go
sehr,very
hier,here
bis,until
groß,big/tall
wieder,again
Mal,time (occurrence)
eins,one
zwei,two
gut,good
wissen,to know (a fact)
neu,new
sehen,to see
lassen,to let/to leave
uns,us
weil,because
unter,under
stehen,to stand
jeder,every/each
Beispiel,example
Zeit,time
erste,first
wo,where
wann,when
lang,long
unser,our
drei,three
wenig,few/little
Frau,woman/wife/Mrs.
Mensch,person/human being
deutsch,German
Kind,child
etwas,something/a little
Tag,day
finden,to find
nichts,nothing
bleiben,to stay
klein,small
zwischen,between
alt,old
gegen,against
liegen,to lie/to be located
ohne,without
nein,no
heute,today
weit,far/wide
heißen,to be called
denken,to think
erst,only/not until
natürlich,natural/naturally
ob,whether/if
hoch,high
beide,both
Mann,man/husband
einfach,simple/easy
vielleicht,maybe/perhaps
dort,there
einmal,once
welcher,which
nehmen,to take
tun,to do
seit,since/for
dürfen,to be allowed to/may
glauben,to believe
halten,to hold/to stop
nennen,to name/to call
Land,country/land
letzte,last
gleich,same/right away
mögen,to like
Frage,question
zeigen,to show
sprechen,to speak
Haus,house
bringen,to bring
Leute,people
schön,beautiful/nice
Arbeit,work
leben,to live
fahren,to drive/to go (by vehicle)
spät,late
wer,who
fragen,to ask
wichtig,important
Hand,hand
kennen,to know (a person)
jung,young
Stadt,city
Herr,Mr./gentleman
vier,four
nie,never
spielen,to play
arbeiten,to work
brauchen,to need
lernen,to learn
Ende,end
kurz,short
stark,strong
Schule,school
Woche,week
richtig,right/correct
oft,often
Vater,father
Leben,life
verstehen,to understand
fast,almost
dein,your (informal)
Mutter,mother
setzen,to set/to put
besser,better
schnell,fast/quick
bekommen,to get/to receive
gern,gladly
Auge,eye
sicher,safe/certain
beginnen,to begin
erzählen,to tell/to narrate
versuchen,to try
Wort,word
neben,next to/beside
schreiben,to write
warum,why
nächste,next
laufen,to run/to walk
Geld,money
erklären,to explain
klar,clear
schwer,heavy/difficult
allein,alone
sitzen,to sit
Stunde,hour
Name,name
fünf,five
scheinen,to shine/to seem
fallen,to fall
Kopf,head
gehören,to belong
Paar,pair/couple
leicht,light/easy
treffen,to meet
hinter,behind
suchen,to search/to look for
Bild,picture
Buch,book
Wasser,water
vorstellen,to introduce/to imagine
Monat,month
tragen,to carry/to wear
Familie,family
Morgen,morning
Abend,evening
zehn,ten
Aufgabe,task/assignment
frei,free
früh,early
lesen,to read
Freund,friend
schlecht,bad
Euro,euro
Nacht,night
verlieren,to lose
Platz,place/square
Zahl,number
nah,near/close
Uhr,clock/o'clock
Eltern,parents
Straße,street
voll,full
aussehen,to look/to appear
Minute,minute
Gesicht,face
Sprache,language
direkt,direct
Anfang,beginning
wohnen,to live/to reside
rot,red
offen,open
Moment,moment
warten,to wait
Interesse,interest
manchmal,sometimes
jemand,someone
Tür,door
Schüler,pupil/student
helfen,to help
sechs,six
niemand,nobody
gewinnen,to win
halb,half
schließen,to close
Wohnung,apartment
fühlen,to feel
Gespräch,conversation
erinnern,to remind/to remember
Lehrer,teacher
studieren,to study
Preis,price/prize
Boden,floor/ground
Sohn,son
bedeuten,to mean
schwarz,black
sofort,immediately
acht,eight
Angst,fear
Musik,music
schauen,to look
schwierig,difficult
verlassen,to leave
bald,soon
Beruf,profession/job
ändern,to change
genug,enough
Auto,car
Tisch,table
endlich,finally
