base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
abrir,to open,abro,abrimos,abres,abres,abren,abre,abre,abren
acabar,to finish/end,acabo,acabamos,acabas,acabas,acaban,acaba,acaba,acaban
aceptar,to accept,acepto,aceptamos,aceptas,aceptas,aceptan,acepta,acepta,aceptan
alcanzar,to reach,alcanzo,alcanzamos,alcanzas,alcanzas,alcanzan,alcanza,alcanza,alcanzan
aparecer,to appear,aparezco,aparecemos,apareces,apareces,aparecen,aparece,aparece,aparecen
ayudar,to help,ayudo,ayudamos,ayudas,ayudas,ayudan,ayuda,ayuda,ayudan
buscar,to look for,busco,buscamos,buscas,buscas,buscan,busca,busca,buscan
caer,to fall,caigo,caemos,caes,caes,caen,cae,cae,caen
cambiar,to change,cambio,cambiamos,cambias,cambias,cambian,cambia,cambia,cambian
comenzar,to begin,comienzo,comenzamos,comienzas,comienzas,comienzan,comienza,comienza,comienzan
comprender,to understand,comprendo,comprendemos,comprendes,comprendes,comprenden,comprende,comprende,comprenden
conocer,to know (a person/place),conozco,conocemos,conoces,conoces,conocen,conoce,conoce,conocen
conseguir,to get/obtain,consigo,conseguimos,consigues,consigues,consiguen,consigue,consigue,consiguen
considerar,to consider,considero,consideramos,consideras,consideras,consideran,considera,considera,consideran
contar,to count/tell,cuento,contamos,cuentas,cuentas,cuentan,cuenta,cuenta,cuentan
convertir,to convert/turn into,convierto,convertimos,conviertes,conviertes,convierten,convierte,convierte,convierten
correr,to run,corro,corremos,corres,corres,corren,corre,corre,corren
crear,to create,creo,creamos,creas,creas,crean,crea,crea,crean
creer,to believe,creo,creemos,crees,crees,creen,cree,cree,creen
cumplir,to fulfill/turn (an age),cumplo,cumplimos,cumples,cumples,cumplen,cumple,cumple,cumplen
dar,to give,doy,damos,das,das,dan,da,da,dan
deber,to have to/should,debo,debemos,debes,debes,deben,debe,debe,deben
decir,to say/tell,digo,decimos,dices,dices,dicen,dice,dice,dicen
dejar,to leave/let,dejo,dejamos,dejas,dejas,dejan,deja,deja,dejan
descubrir,to discover,descubro,descubrimos,descubres,descubres,descubren,descubre,descubre,descubren
dirigir,to direct/manage,dirijo,dirigimos,diriges,diriges,dirigen,dirige,dirige,dirigen
empezar,to begin/start,empiezo,empezamos,empiezas,empiezas,empiezan,empieza,empieza,empiezan
encontrar,to find,encuentro,encontramos,encuentras,encuentras,encuentran,encuentra,encuentra,encuentran
entender,to understand,entiendo,entendemos,entiendes,entiendes,entienden,entiende,entiende,entienden
entrar,to enter,entro,entramos,entras,entras,entran,entra,entra,entran
escribir,to write,escribo,escribimos,escribes,escribes,escriben,escribe,escribe,escriben
escuchar,to listen,escucho,escuchamos,escuchas,escuchas,escuchan,escucha,escucha,escuchan
esperar,to wait/hope,espero,esperamos,esperas,esperas,esperan,espera,espera,esperan
estar,to be (temporary/location),estoy,estamos,estás,estás,están,está,está,están
estudiar,to study,estudio,estudiamos,estudias,estudias,estudian,estudia,estudia,estudian
existir,to exist,existo,existimos,existes,existes,existen,existe,existe,existen
explicar,to explain,explico,explicamos,explicas,explicas,explican,explica,explica,explican
formar,to form,formo,formamos,formas,formas,forman,forma,forma,forman
ganar,to win/earn,gano,ganamos,ganas,ganas,ganan,gana,gana,ganan
gustar,to like/please,gusto,gustamos,gustas,gustas,gustan,gusta,gusta,gustan
haber,to have (auxiliary),he,hemos,has,has,han,ha,ha,han
hablar,to speak/talk,hablo,hablamos,hablas,hablas,hablan,habla,habla,hablan
hacer,to do/make,hago,hacemos,haces,haces,hacen,hace,hace,hacen
intentar,to try,intento,intentamos,intentas,intentas,intentan,intenta,intenta,intentan
ir,to go,voy,vamos,vas,vas,van,va,va,van
jugar,to play,juego,jugamos,juegas,juegas,juegan,juega,juega,juegan
leer,to read,leo,leemos,lees,lees,leen,lee,lee,leen
levantar,to raise/lift,levanto,levantamos,levantas,levantas,levantan,levanta,levanta,levantan
llamar,to call,llamo,llamamos,llamas,llamas,llaman,llama,llama,llaman
llegar,to arrive,llego,llegamos,llegas,llegas,llegan,llega,llega,llegan
