base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
être,to be,suis,sommes,es,es,êtes,est,est,sont
avoir,to have,ai,avons,as,as,avez,a,a,ont
faire,to do/to make,fais,faisons,fais,fais,faites,fait,fait,font
aller,to go,vais,allons,vas,vas,allez,va,va,vont
dire,to say,dis,disons,dis,dis,dites,dit,dit,disent
pouvoir,to be able to,peux,pouvons,peux,peux,pouvez,peut,peut,peuvent
vouloir,to want,veux,voulons,veux,veux,voulez,veut,veut,veulent
savoir,to know,sais,savons,sais,sais,savez,sait,sait,savent
voir,to see,vois,voyons,vois,vois,voyez,voit,voit,voient
devoir,to have to/must,dois,devons,dois,dois,devez,doit,doit,doivent
venir,to come,viens,venons,viens,viens,venez,vient,vient,viennent
prendre,to take,prends,prenons,prends,prends,prenez,prend,prend,prennent
parler,to speak,parle,parlons,parles,parles,parlez,parle,parle,parlent
penser,to think,pense,pensons,penses,penses,pensez,pense,pense,pensent
trouver,to find,trouve,trouvons,trouves,trouves,trouvez,trouve,trouve,trouvent
donner,to give,donne,donnons,donnes,donnes,donnez,donne,donne,donnent
demander,to ask,demande,demandons,demandes,demandes,demandez,demande,demande,demandent
comprendre,to understand,comprends,comprenons,comprends,comprends,comprenez,comprend,comprend,comprennent
connaître,to know,connais,connaissons,connais,connais,connaissez,connaît,connaît,connaissent
sortir,to go out,sors,sortons,sors,sors,sortez,sort,sort,sortent
entendre,to hear,entends,entendons,entends,entends,entendez,entend,entend,entendent
chercher,to look for,cherche,cherchons,cherches,cherches,cherchez,cherche,cherche,cherchent
aider,to help,aide,aidons,aides,aides,aidez,aide,aide,aident
essayer,to try,essaie,essayons,essaies,essaies,essayez,essaie,essaie,essaient
revenir,to come back,reviens,revenons,reviens,reviens,revenez,revient,revient,reviennent
jouer,to play,joue,jouons,joues,joues,jouez,joue,joue,jouent
finir,to finish,finis,finissons,finis,finis,finissez,finit,finit,finissent
