arabizi_word,english_translation
je,I
tu,you
il,he
elle,she
nous,we
vous,you
ils,they
elles,they
on,we
moi,me
toi,you
lui,him
eux,them
le,the
la,the
les,the
un,a/one
une,a/one
des,some
du,some
de,of/from
à,to/at
et,and
ou,or
mais,but
donc,so/therefore
car,because
ne,not
pas,not
ce,this/that
cette,this
ces,these
cet,this
mon,my
ma,my
mes,my
ton,your
ta,your
tes,your
son,his/her
sa,his/her
ses,his/her
notre,our
nos,our
votre,your
vos,your
leur,their
leurs,their
qui,who
que,that/what
quoi,what
où,where
quand,when
comment,how
pourquoi,why
combien,how much/how many
quel,which
quelle,which
avec,with
sans,without
pour,for
dans,in
sur,on
sous,under
entre,between
chez,at the home of
vers,toward
depuis,since/for
pendant,during
après,after
avant,before
toujours,always
jamais,never
souvent,often
parfois,sometimes
déjà,already
encore,again/still
aussi,also
très,very
trop,too much
beaucoup,a lot
peu,little
assez,enough
bien,well
mal,badly
oui,yes
non,no
peut-être,maybe
merci,thank you
s'il vous plaît,please
pardon,sorry
excusez-moi,excuse me
bonjour,hello
bonsoir,good evening
au revoir,goodbye
salut,hi/bye
c'est,it is/this is
il y a,there is/there are
voici,here is
voilà,there is
maintenant,now
ici,here
là,there
tout,all/everything
tous,all
toute,all
toutes,all
chaque,each
plusieurs,several
quelques,a few
même,same/even
autre,other
être,to be
avoir,to have
faire,to do/to make
aller,to go
dire,to say
pouvoir,to be able to
vouloir,to want
savoir,to know
voir,to see
devoir,to have to/must
venir,to come
prendre,to take
parler,to speak
penser,to think
trouver,to find
donner,to give
demander,to ask
comprendre,to understand
connaître,to know
sortir,to go out
entendre,to hear
chercher,to look for
aider,to help
essayer,to try
revenir,to come back
jouer,to play
finir,to finish
perdre,to lose
sentir,to feel/to smell
rentrer,to go home
vivre,to live
rendre,to give back
tenir,to hold
oublier,to forget
travailler,to work
manger,to eat
entrer,to enter
devenir,to become
commencer,to start
payer,to pay
ouvrir,to open
changer,to change
dormir,to sleep
marcher,to walk
envoyer,to send
apprendre,to learn
boire,to drink
garder,to keep
montrer,to show
porter,to wear/to carry
servir,to serve
écrire,to write
gagner,to win/to earn
acheter,to buy
lire,to read
monter,to go up
quitter,to leave
toucher,to touch
continuer,to continue
répondre,to answer
rencontrer,to meet
fermer,to close
compter,to count
apporter,to bring
décider,to decide
vendre,to sell
expliquer,to explain
utiliser,to use
recevoir,to receive
préférer,to prefer
offrir,to offer
préparer,to prepare
choisir,to choose
conduire,to drive
chanter,to sing
présenter,to introduce
accepter,to accept
refuser,to refuse
rire,to laugh
inviter,to invite
arriver,to arrive
rester,to stay
arrêter,to stop
suivre,to follow
falloir,to be necessary
attendre,to wait
laisser,to let/to leave
appeler,to call
partir,to leave
mettre,to put
courir,to run
voyager,to travel
regarder,to watch/to look at
écouter,to listen
aimer,to like/to love
adorer,to adore
détester,to hate
espérer,to hope
sourire,to smile
pleurer,to cry
danser,to dance
nager,to swim
tomber,to fall
descendre,to go down
zéro,zero
deux,two
trois,three
quatre,four
cinq,five
six,six
sept,seven
huit,eight
neuf,nine
dix,ten
onze,eleven
douze,twelve
treize,thirteen
quatorze,fourteen
quinze,fifteen
