italian_word,english_translation
non,not
di,of/from
che,that/what
e,and
la,the
il,the
un,a/an
a,to/at
per,for
in,in
una,a/an
mi,me/myself
ma,but
lo,it/him
le,the/them
si,himself/herself
ti,you/yourself
i,the
con,with
cosa,thing/what
se,if
io,I
come,how/like
da,from/since
ci,us/there
no,no
questo,this
qui,here
del,of the
bene,well
tu,you
sì,yes
me,me
più,more
al,to the
mio,my
perché,why/because
lei,she
solo,only/alone
te,you
gli,the/to him
tutto,all/everything
così,so/like this
questa,this
quando,when
ora,now/hour
mai,never
chi,who
o,or
alla,to the
molto,very/much
anche,also
quello,that
niente,nothing
grazie,thank you
lui,he
dove,where
prima,before
allora,then/so
suo,his/her
tuo,your
ancora,still/again
qualcosa,something
casa,house/home
su,on
sempre,always
ogni,every
forse,maybe
vi,you all/yourselves
loro,they/their
vita,life
tempo,time/weather
quanto,how much
parte,part
noi,we
voi,you all
essere,to be
avere,to have
fare,to do/to make
dire,to say
andare,to go
potere,to be able to/can
volere,to want
dovere,to have to/must
sapere,to know
vedere,to see
dare,to give
stare,to stay/to be
uscire,to go out
venire,to come
parlare,to speak
prendere,to take
trovare,to find
lasciare,to leave/to let
pensare,to think
passare,to pass/to spend time
mettere,to put
portare,to bring/to carry
tenere,to hold/to keep
capire,to understand
sentire,to hear/to feel
guardare,to watch/to look
chiedere,to ask
rispondere,to answer
cercare,to look for
mangiare,to eat
bere,to drink
dormire,to sleep
lavorare,to work
studiare,to study
imparare,to learn
scrivere,to write
leggere,to read
camminare,to walk
correre,to run
arrivare,to arrive
partire,to leave/to depart
tornare,to return
entrare,to enter
salire,to go up/to get on
scendere,to go down/to get off
comprare,to buy
vendere,to sell
pagare,to pay
costare,to cost
aprire,to open
chiudere,to close
cominciare,to begin/to start
finire,to finish
continuare,to continue
aiutare,to help
lavare,to wash
pulire,to clean
cucinare,to cook
giocare,to play
vincere,to win
perdere,to lose
cambiare,to change
provare,to try
usare,to use
credere,to believe
sperare,to hope
amare,to love
odiare,to hate
piacere,to like/to please
ricordare,to remember
dimenticare,to forget
spiegare,to explain
insegnare,to teach
chiamare,to call/to name
ascoltare,to listen
cantare,to sing
ridere,to laugh
nascere,to be born
morire,to die
vivere,to live
abitare,to reside
viaggiare,to travel
guidare,to drive
volare,to fly
alzarsi,to get up
sedersi,to sit down
vestirsi,to get dressed
lavarsi,to wash oneself
chiamarsi,to be called
sentirsi,to feel
incontrare,to meet
conoscere,to know a person
salutare,to greet
decidere,to decide
scegliere,to choose
preferire,to prefer
servire,to serve/to be useful
restare,to remain
diventare,to become
famiglia,family
madre,mother
padre,father
mamma,mom
papà,dad
figlio,son
figlia,daughter
fratello,brother
sorella,sister
nonno,grandfather
nonna,grandmother
zio,uncle
zia,aunt
cugino,cousin
marito,husband
moglie,wife
genitori,parents
bambino,child
ragazzo,boy
ragazza,girl
donna,woman
uomo,man
amico,friend
cibo,food
acqua,water
pane,bread
latte,milk
caffè,coffee
tè,tea
vino,wine
birra,beer
succo,juice
zucchero,sugar
sale,salt
formaggio,cheese
uovo,egg
carne,meat
pollo,chicken
pesce,fish
frutta,fruit
verdura,vegetables
mela,apple
pomodoro,tomato
patata,potato
riso,rice
pasta,pasta
pizza,pizza
dolce,dessert/sweet
gelato,ice cream
cioccolato,chocolate
colazione,breakfast
pranzo,lunch
cena,dinner
piatto,dish/plate
tavolo,table
tazza,cup
forchetta,fork
coltello,knife
ristorante,restaurant
conto,bill
fame,hunger
sete,thirst
zero,zero
uno,one
due,two
tre,three
quattro,four
cinque,five
sei,six
sette,seven
otto,eight
nove,nine
dieci,ten
undici,eleven
dodici,twelve
tredici,thirteen
quattordici,fourteen
quindici,fifteen
sedici,sixteen
diciassette,seventeen
diciotto,eighteen
diciannove,nineteen
venti,twenty
trenta,thirty
quaranta,forty
cinquanta,fifty
sessanta,sixty
settanta,seventy
ottanta,eighty
novanta,ninety
cento,one hundred
mille,one thousand
giorno,day
settimana,week
mese,month
anno,year
mattina,morning
pomeriggio,afternoon
sera,evening
notte,night
lunedì,Monday
martedì,Tuesday
mercoledì,Wednesday
giovedì,Thursday
venerdì,Friday
sabato,Saturday
domenica,Sunday
gennaio,January
febbraio,February
marzo,March
aprile,April
maggio,May
giugno,June
luglio,July
agosto,August
settembre,September
ottobre,October
novembre,November
dicembre,December
primavera,spring
estate,summer
autunno,autumn
inverno,winter
colore,color
rosso,red
blu,blue
verde,green
giallo,yellow
nero,black
bianco,white
grigio,gray
marrone,brown
rosa,pink
viola,purple
arancione,orange
corpo,body
testa,head
viso,face
occhio,eye
naso,nose
bocca,mouth
orecchio,ear
capelli,hair
collo,neck
spalla,shoulder
braccio,arm
mano,hand
gamba,leg
piede,foot
petto,chest
cuore,heart
pelle,skin
dente,tooth
lingua,tongue/language
voce,voice
appartamento,apartment
camera,room/bedroom
cucina,kitchen
bagno,bathroom
salotto,living room
porta,door
finestra,window
muro,wall
giardino,garden
sedia,chair
letto,bed
divano,sofa
armadio,wardrobe
lampada,lamp
chiave,key
borsa,bag
libro,book
foto,photo
telefono,phone
televisione,television
computer,computer
frigorifero,refrigerator
vestito,dress
camicia,shirt
