arabizi_word,english_translation
2a3ad,to sit
2a3de,sitting
2aal,to say
2abar,to bury
2abel,before
2ada,to spend time
2adar,fate/divine decree
2add,as much as
2adech,how much
2ader,able
2adim,old
2afa,back of neck
2ahwe,coffee
2akel,food
2al3a,citadel/castle
2alab,to turn/flip
2alam,pen
2alb,heart
2aleel,few/little
2am,to stand up
2amar,moon
2ameh,wheat
2amen,to believe
2aneene,bottle
2anoon,law
2arab,to be related
2ard,land/earth
2are,reader
2areeb,relative
2areeban,soon
2aren,century
2arib,near
2armid,tile/roof tile
2arrab,to come near
2arrar,to decide
2arye,village
2asad,to mean/intend
2asas,retribution
2asdan,intentionally
2ase,hard/tough
2aseer,short
2aser,castle
2asida,poem
2aswe,harshness
2atal,to kill
2atel,killer/murderer
2atta3,to cut/pass
2awal,first
2awe,strong
2awlawiye,priority
2awme,standing
2ayel,having said
2ebel,to accept
2eeme,value
2el2an,worried/anxious
2ele2,to worry
2elet,to say (I said)
2elib,to flip over
2ello,to tell him
2enble,bomb
2erd,monkey
2eresh,shark
2essa,story
2id,hand
2imme,peak/pinnacle
2irfe,cinnamon
2maar,gambling/betting
2mesh,fabric/textile
2ot3a,piece
2ouwe,force/power
2rar,decision
2raye,reading
2ude,room
2udra,ability
2zez,glass
3a,to/on
3a2el,mind
3abar,to cross
3abed,slave
3abukra,early morning
3adale,muscle
3adas,lentils
3adatan,usually
3ade,normal
3adel,fair/just
3adou,enemy
3adra,virgin (Mary)
3afrit,demon/imp
3afw,forgiveness/pardon
3afwan,sorry/excuse me
3aj2a,crowd/traffic
3ajale,haste/hurry
3ajib,amazing/wondrous
3al akid,for sure
3ala,on
3ala kil,anyway
3ala mahlak,take your time/slowly
3alam,world
3alami,global
3ale2a,relationship/connection
3alem,scientist
3alla2,to hang/get stuck
3am,progressive marker
3amal,to do/make
3amaliyan,practically
3amil,worker
3amm,uncle
3ammar,to build
3amme,general/public
3ammeh,aunt
3amto,aunt (paternal)
3an,about
3an 3atool,all the time
3ana,to suffer
3and,to have/at
3ande,I have
3ando,he has
3andon,they have
3anif,violent
3anjad,really
3anna,we have
3ansara,Pentecost
3aqide,doctrine/ideology
3arabe,Arabic
3arbash,to climb
3ared,offer
3arraf,to define
3asal,honey
3aseer,juice
3aser,era/age
3asfe,storm
3asfoor,bird
3ash,to live
3asha,dinner
3asheb,herb
3ashen,because of/for
3ashra,ten
3askari,military
3assab,to be angry
3ataba,traditional poetic singing
3atel,bad/broken
3atem,darkness
3ater,perfume
3atifi,emotional
3atshen,thirsty
3awde,return
3awne,help/assistance
3ayb,shame/shameful
3ayesh,living
3ayle,family
3ayn,eye
3ayyat,to yell/call out
3azam,to invite
3azame,grandiosity/greatness
3azim,great/awesome
3azime,invitation
3eed,anniversary/holiday
3eed miled,birthday
3elem,to know
3eres,wedding
3esh,nest
3i2eb,punishment
3id,"celebration, holiday"
3id miled,birthday
3ilm,knowledge/science
3ilm el-falak,astronomy
3ilmani,secular
3immel,workers
3inab,grapes
3ind,to have/at
3ishe,life/living
3ishreen,twenty
3iter,scent/perfume
3iyade,clinic
3jeb,to impress
3moule,commission
3omor,age/life
3otle,holiday/day off
3oud,lute / oud
3ref,to know
3unsuriyye,racism
3unuf,violence
3waynet,glasses
7a2,right
7a2el,field
7abb,to like/love
7abel,rope
7abib,darling/dear
7ad,next to
7ada,someone/person
7add,border/limit
7addad,to determine
7addar,to prepare
7adee2a,garden
7adeed,iron
7ades,accident
7afaz,to memorize
7affaz,to stimulate/motivate
7afle,party
7ajar,rock/stone
7ajaz,to reserve
7aki,talk/speech
7akim,doctor
7akura,small home garden
7al,self
7aleeb,milk
7all,solution
7alla2,barber
7allal,to analyze
7ama,to protect
7ame,hot
7amel,carrying
7amem,toilet/bathroom
7ames,excitement
7amet,mother-in-law
7amle,campaign
7amra,red (f)
7amud,sour/lemon
7anin,nostalgia
7aniyye,tenderness
7ara2,to burn
7arake,movement
7aram,pity/forbidden
7arara,temperature/heat
7arb,war
7areb,to fight
7aree2,fire
7aref,letter
7arr,spicy
7arta2a,noise/racket
7asab,depending on
7ashara,insect
7ashoor,curious/nosy
7atmiyye,determinism
7att,to put
7atta,until/so that
7awali,approximately / about
7awel,around
7awwal,to transform
7ay,neighbourhood
7ayawen,animal
7aye,life
7ayye,snake
7azeen,sad
7azz,luck
7da3esh,eleven
7eet,whale
7efez,to memorize/preserve
7efz,memorization
7eit,wall
7elem,dream
7elo,nice/beautiful (m)
7emaye,protection
7ezen,sadness
7ikme,wisdom
7is,to feel
7ishre,nosy/curious
7ishriyye,curiosity/nosiness
7izeh,shoe
7le2a,haircut
7mar,donkey
7ob,love
7san,horse
7seb,bill
7tafal,to celebrate
7tar,to be confused
7ufra,hole
7ukum,sentence/judgment
7urr,free
7urriyye,freedom
7walayna,around us
7zayran,June
a3de,living room/sitting
a3mal,business
a3sab,nerves
a3ta,to give
a7ad,Sunday
a7la,more beautiful
a7mar,red
a7san,better
a7yanan,sometimes
aab,August
ab7as,research
abadan,never
abel,before
aben,son
abou,father
abraz,most prominent
absha3,uglier/ugliest
abuna,priest
abyad,white
adaar,March
adab,literature
adat,tools
adda,to lead to
adde,how much
adib,writer / literary figure
afkar,ideas
aghniya,rich
aghrab,strangers
aham,most important
ahamye,importance
ahdef,objectives
ahel,parents/family
ahla w sahla,welcome
ahli,civil
ahliye,civil
ahmal,to neglect
ahsan,best/better
ahwe,coffee
ajdad,ancestors
ajmal,most beautiful
ajnabe,foreigner
ajnabi,foreign
akbar,bigger
akeed,for sure
akel,food
akhawi,fraternal / brotherly
akhbar,news
akhdar,green
akhiran,finally
akhla2,morals
akhla2e,ethical/moral
aktar,most/more
al,said
ala,machine
alaf,thousands
alam,pen
albe,my heart
alef,thousand
almane,German
almas,diamond
amaken,places
amal,hope
amerke,American
amma,but / as for
amn,security
ana,I
ana2a,elegance
ananas,pineapple
aniqa,elegant
anja7,most successful
anka,worst
arb3a,four
arb3een,forty
ard,land/ground
arghile,hookah/water pipe
arib,near
arkhas,cheaper
as2at,to topple / bring down
as7ab,friends
asase,basic / essential
asateer,myths
asaye,cane/stick
aseer,short
asel,origin / roots
asem,name
ash-har,most famous
ashal,easier
ashraf,to overlook
aslan,originally / at all
asmar,brown
asrar,secrets
assas,to found/establish
aswa2,worst
aswad,black
atrash,deaf
atwal,longer
atyab,tastier
aw,or
aw2at,sometimes
awas,to shoot
awey,strong/heavy
awwal,first
awwale,raw/primary
ayle,family
aylool,September
aymata,when
ayy,any
ayyar,May
ayyem,days
azka,smarter
azme,crisis
azra2,blue
azza,hurt / harm
b3eed,far
b7ebbak,I love you
b7ib,to like / love
ba2a,anymore/then
ba2dunes,parsley
ba2i,remaining / still
ba33ad,to be far
ba3at,to send
ba3dein,then/afterwards
ba3do,still
ba3ed,after/not yet
ba3raf,to know
ba3th,rebirth
ba7er,sea
ba7la2,to stare
baa3,to sell
baayi3,seller
baba,dad
babili,Babylonian
bada,she wants
badak,you want (m)
badal,instead
badal ma,instead of
badawe,bedouin
badd,to want
